ts,yhat,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-10-02 10:00:00+02:00,63850.927365968026,62578.54524060075,65123.3094913353,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 11:00:00+02:00,64618.606821787514,62889.32157992251,66347.89206365251,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 12:00:00+02:00,64437.59292433547,62399.886899023964,66475.29894964698,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 13:00:00+02:00,64008.85628591241,61742.48022008123,66275.23235174359,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 14:00:00+02:00,63030.29025637783,60586.88666833407,65473.6938444216,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 15:00:00+02:00,61877.967073376,59294.06940224683,64461.86474450517,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 16:00:00+02:00,61125.893522992956,58428.69825453358,63823.088791452334,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 17:00:00+02:00,60810.76614981535,58021.19060522493,63600.34169440576,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 18:00:00+02:00,60326.47605225937,57460.97130048417,63191.980804034574,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 19:00:00+02:00,60719.86329618318,57791.57637319506,63648.15021917131,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 20:00:00+02:00,58313.47097716799,55333.033724960595,61293.90822937539,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 21:00:00+02:00,54646.54895943447,51622.63702702333,57670.46089184561,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 22:00:00+02:00,51443.05731713485,48382.799721718184,54503.31491255152,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 23:00:00+02:00,47634.169501712146,44543.45668012072,50724.88232330357,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 00:00:00+02:00,44637.525257132016,41521.2456682596,47753.80484600443,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 01:00:00+02:00,42874.48330305706,39736.708245134054,46012.258360980064,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 02:00:00+02:00,42117.87380443575,38962.00377453989,45273.74383433162,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 03:00:00+02:00,42203.00064450775,39031.88255050297,45374.11873851254,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 04:00:00+02:00,43241.893516874006,40057.915417048775,46425.87161669924,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 05:00:00+02:00,47148.55985103441,43953.72811642269,50343.39158564614,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 06:00:00+02:00,54852.48658464927,51648.48914434572,58056.48402495281,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 07:00:00+02:00,59554.89179472569,56343.15024817984,62766.63334127155,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 08:00:00+02:00,62463.726198958626,59245.4389442791,65682.01345363815,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 09:00:00+02:00,64069.674537562576,60845.85259623154,67293.49647889362,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
