ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-12-15 18:00:00+01:00,69070.27592867156,69618.64,67797.89380330428,70342.65805403884,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-15 19:00:00+01:00,66788.68667026318,67293.4,65059.401428398174,68517.97191212818,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-15 20:00:00+01:00,63240.73273628593,63705.27,61203.02671097442,65278.438761597434,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-15 21:00:00+01:00,59465.27071700765,59892.83,57198.894651176466,61731.64678283883,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-15 22:00:00+01:00,55267.175185625885,55660.7,52823.77159758212,57710.57877366965,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-15 23:00:00+01:00,51165.56045086532,51527.76,48581.66277973615,53749.45812199449,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 00:00:00+01:00,48016.80217006527,48350.17,45319.60690160589,50713.997438524646,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 01:00:00+01:00,46352.44883386271,46659.28,43562.8732892723,49142.02437845313,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 02:00:00+01:00,45008.4131326919,45290.82,42142.9083809167,47873.917884467104,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 03:00:00+01:00,45442.86321450818,45702.79,42514.576291520054,48371.150137496305,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 04:00:00+01:00,47164.86384239479,47404.1,44184.426590187395,50145.30109460219,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 05:00:00+01:00,50939.117460022215,51159.31,47915.20552761108,53963.02939243335,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 06:00:00+01:00,59501.21517229499,59703.88,56440.957576878325,62561.47276771166,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 07:00:00+01:00,66029.20764793738,66215.74,62938.49482634595,69119.9204695288,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 08:00:00+01:00,68817.52595023159,68989.21,65701.24636135918,71933.805539104,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 09:00:00+01:00,69210.48230162781,69368.5,66072.7072437048,72348.25735955081,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 10:00:00+01:00,69850.59078749003,69996.03,66694.72075759417,73006.46081738589,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 11:00:00+01:00,70142.0980038222,70275.96,66970.97990981743,73313.21609782698,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 12:00:00+01:00,69470.38365343458,69593.59,66286.40555360934,72654.36175325981,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 13:00:00+01:00,67713.55109465397,67826.95,64518.71936004225,70908.3828292657,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 14:00:00+01:00,66799.2978463557,66903.67,63595.30040605215,70003.29528665924,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 15:00:00+01:00,66174.45605279427,66270.52,62962.71450624841,69386.19759934011,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 16:00:00+01:00,67549.18291143254,67637.6,64330.89565675301,70767.47016611206,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-16 17:00:00+01:00,69461.391066715,69542.77,66237.56912538396,72685.21300804605,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
