ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-07-02 19:00:00+02:00,59152.23236116764,62159.56,57879.85023580037,60424.61448653491,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-02 20:00:00+02:00,57448.90091433454,60216.84,55719.61567246953,59178.18615619955,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-02 21:00:00+02:00,55542.8337189201,58090.44,53505.12769360859,57580.5397442316,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-02 22:00:00+02:00,53578.91764592416,55923.73,51312.54158009298,55845.29371175534,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-02 23:00:00+02:00,50843.96882075525,53002.13,48400.56523271149,53287.37240879902,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 00:00:00+02:00,49035.85223479144,51022.22,46451.95456366227,51619.74990592061,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 01:00:00+02:00,47310.500591843906,49138.75,44613.30532338453,50007.69586030328,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 02:00:00+02:00,46098.07245042673,47780.79,43308.49690583631,48887.64799501714,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 03:00:00+02:00,46799.049717887516,48347.82,43933.54496611231,49664.55446966272,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 04:00:00+02:00,47488.97454799228,48914.46,44560.68762500415,50417.261470980404,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 05:00:00+02:00,49495.41568945031,50807.43,46514.97843724291,52475.85294165771,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-07-03 06:00:00+02:00,55209.424329085436,56417.0,52185.5123966743,58233.33626149657,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
